Driver,DriverNumber,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,Deleted,DeletedReason,IsAccurate,FastF1Generated,IsPersonalBest,Time,LapStartTime,LapStartDate,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime
LIN,41,Racing Bulls,55.0,0 days 00:01:24.614000,8.0,2.0,HARD,37.0,True,,,0 days 00:00:30.016000,0 days 00:00:17.645000,0 days 00:00:36.953000,251.0,312.0,305.0,290.0,1,False,,True,False,False,0 days 02:22:49.219000,0 days 02:21:24.605000,2026-03-08 05:22:31.228,0 days 02:21:54.731000,0 days 02:22:12.376000,0 days 02:22:49.329000
LIN,41,Racing Bulls,56.0,0 days 00:01:24.688000,8.0,2.0,HARD,38.0,True,,,0 days 00:00:29.961000,0 days 00:00:17.776000,0 days 00:00:36.951000,254.0,306.0,300.0,299.0,1,False,,True,False,False,0 days 02:24:13.907000,0 days 02:22:49.219000,2026-03-08 05:23:55.842,0 days 02:23:19.290000,0 days 02:23:37.066000,0 days 02:24:14.017000
LIN,41,Racing Bulls,57.0,0 days 00:01:24.689000,8.0,2.0,HARD,39.0,True,,,0 days 00:00:29.872000,0 days 00:00:17.727000,0 days 00:00:37.090000,254.0,305.0,301.0,296.0,1,False,,True,False,False,0 days 02:25:38.596000,0 days 02:24:13.907000,2026-03-08 05:25:20.530,0 days 02:24:43.889000,0 days 02:25:01.616000,0 days 02:25:38.706000
COL,43,Alpine,1.0,0 days 00:01:41.613000,17.0,1.0,HARD,1.0,True,,,,0 days 00:00:19.039000,0 days 00:00:40.226000,227.0,302.0,294.0,209.0,1,False,,False,False,False,0 days 01:04:01.592000,0 days 01:02:19.743000,2026-03-08 04:03:26.366,,0 days 01:03:22.440000,0 days 01:04:01.785000
COL,43,Alpine,2.0,0 days 00:01:28.166000,16.0,1.0,HARD,2.0,True,,,0 days 00:00:31.674000,0 days 00:00:18.157000,0 days 00:00:38.335000,260.0,284.0,285.0,257.0,1,False,,True,False,True,0 days 01:05:29.758000,0 days 01:04:01.592000,2026-03-08 04:05:08.215,0 days 01:04:33.365000,0 days 01:04:51.522000,0 days 01:05:29.857000
COL,43,Alpine,3.0,0 days 00:01:26.935000,16.0,1.0,HARD,3.0,True,,,0 days 00:00:30.607000,0 days 00:00:18.320000,0 days 00:00:38.008000,258.0,284.0,302.0,267.0,1,False,,True,False,True,0 days 01:06:56.693000,0 days 01:05:29.758000,2026-03-08 04:06:36.381,0 days 01:06:00.464000,0 days 01:06:18.784000,0 days 01:06:56.792000
COL,43,Alpine,4.0,0 days 00:01:26.812000,16.0,1.0,HARD,4.0,True,,,0 days 00:00:30.715000,0 days 00:00:17.902000,0 days 00:00:38.195000,259.0,299.0,307.0,286.0,1,False,,True,False,True,0 days 01:08:23.505000,0 days 01:06:56.693000,2026-03-08 04:08:03.316,0 days 01:07:27.507000,0 days 01:07:45.409000,0 days 01:08:23.604000
COL,43,Alpine,5.0,0 days 00:01:27.512000,16.0,1.0,HARD,5.0,True,,,0 days 00:00:30.698000,0 days 00:00:17.936000,0 days 00:00:38.878000,264.0,302.0,316.0,265.0,1,False,,True,False,False,0 days 01:09:51.017000,0 days 01:08:23.505000,2026-03-08 04:09:30.128,0 days 01:08:54.302000,0 days 01:09:12.238000,0 days 01:09:51.116000
COL,43,Alpine,6.0,0 days 00:01:27.513000,15.0,1.0,HARD,6.0,True,,,0 days 00:00:30.986000,0 days 00:00:17.993000,0 days 00:00:38.534000,258.0,309.0,288.0,265.0,1,False,,True,False,False,0 days 01:11:18.530000,0 days 01:09:51.017000,2026-03-08 04:10:57.640,0 days 01:10:22.102000,0 days 01:10:40.095000,0 days 01:11:18.629000
COL,43,Alpine,7.0,0 days 00:01:26.068000,15.0,1.0,HARD,7.0,True,,,0 days 00:00:30.496000,0 days 00:00:18.028000,0 days 00:00:37.544000,257.0,301.0,299.0,277.0,1,False,,True,False,True,0 days 01:12:44.598000,0 days 01:11:18.530000,2026-03-08 04:12:25.153,0 days 01:11:49.125000,0 days 01:12:07.153000,0 days 01:12:44.697000
COL,43,Alpine,8.0,0 days 00:01:25.818000,15.0,1.0,HARD,8.0,True,,,0 days 00:00:30.390000,0 days 00:00:18.004000,0 days 00:00:37.424000,254.0,305.0,297.0,279.0,1,False,,True,False,True,0 days 01:14:10.416000,0 days 01:12:44.598000,2026-03-08 04:13:51.221,0 days 01:13:15.087000,0 days 01:13:33.091000,0 days 01:14:10.515000
COL,43,Alpine,9.0,0 days 00:01:49.931000,20.0,1.0,HARD,9.0,True,0 days 01:15:34.795000,,0 days 00:00:30.400000,0 days 00:00:18.017000,0 days 00:01:01.514000,259.0,307.0,,293.0,1,False,,False,False,False,0 days 01:16:00.347000,0 days 01:14:10.416000,2026-03-08 04:15:17.039,0 days 01:14:40.915000,0 days 01:14:58.932000,0 days 01:16:00.446000
COL,43,Alpine,10.0,0 days 00:01:32.762000,20.0,2.0,HARD,10.0,False,,0 days 01:16:02.847000,0 days 00:00:36.557000,0 days 00:00:18.377000,0 days 00:00:37.828000,253.0,296.0,290.0,217.0,1,False,,False,False,False,0 days 01:17:33.109000,0 days 01:16:00.347000,2026-03-08 04:17:06.970,0 days 01:16:37.003000,0 days 01:16:55.380000,0 days 01:17:33.208000
COL,43,Alpine,11.0,0 days 00:01:45.807000,18.0,2.0,HARD,11.0,False,,,0 days 00:00:30.568000,0 days 00:00:27.783000,0 days 00:00:47.456000,250.0,138.0,205.0,283.0,16,False,,False,False,False,0 days 01:19:18.916000,0 days 01:17:33.109000,2026-03-08 04:18:39.732,0 days 01:18:03.776000,0 days 01:18:31.559000,0 days 01:19:19.015000
COL,43,Alpine,12.0,0 days 00:02:03.670000,17.0,2.0,HARD,12.0,False,,,0 days 00:00:41.094000,0 days 00:00:27.882000,0 days 00:00:54.694000,199.0,122.0,280.0,187.0,6,False,,False,False,False,0 days 01:21:22.586000,0 days 01:19:18.916000,2026-03-08 04:20:25.539,0 days 01:20:00.109000,0 days 01:20:27.991000,0 days 01:21:22.685000
COL,43,Alpine,13.0,0 days 00:01:33.872000,16.0,2.0,HARD,13.0,False,,,0 days 00:00:32.451000,0 days 00:00:23.161000,0 days 00:00:38.260000,242.0,280.0,288.0,270.0,671,False,,False,False,False,0 days 01:22:56.458000,0 days 01:21:22.586000,2026-03-08 04:22:29.209,0 days 01:21:55.136000,0 days 01:22:18.297000,0 days 01:22:56.557000
