Driver,DriverNumber,LapNumber,Position,LapTimeSeconds,LapTimeDelta,PositionChange
COL,43,48,14.0,82.926,-7.382999999999996,0.0
COL,43,49,14.0,83.259,0.3329999999999984,0.0
COL,43,50,14.0,83.721,0.4620000000000033,0.0
COL,43,51,14.0,85.633,1.911999999999992,0.0
COL,43,52,14.0,85.151,-0.4819999999999993,0.0
COL,43,53,14.0,87.12,1.9690000000000083,0.0
COL,43,54,14.0,83.988,-3.132000000000005,0.0
COL,43,55,14.0,83.912,-0.0759999999999934,0.0
COL,43,56,14.0,83.621,-0.291000000000011,0.0
GAS,10,1,9.0,97.98,,
GAS,10,2,9.0,87.281,-10.698999999999998,0.0
GAS,10,3,9.0,86.371,-0.9100000000000108,0.0
GAS,10,4,9.0,85.894,-0.47699999999998965,0.0
GAS,10,6,9.0,85.989,0.09499999999999886,0.0
GAS,10,7,9.0,85.079,-0.9100000000000108,0.0
GAS,10,8,9.0,84.964,-0.11499999999999488,0.0
GAS,10,9,9.0,85.441,0.47700000000000387,0.0
GAS,10,10,10.0,86.669,1.2279999999999944,1.0
GAS,10,11,12.0,104.821,18.152,2.0
GAS,10,12,11.0,118.072,13.251000000000005,-1.0
GAS,10,13,11.0,111.634,-6.438000000000002,0.0
GAS,10,14,11.0,85.748,-25.885999999999996,0.0
GAS,10,15,11.0,84.823,-0.9250000000000114,0.0
GAS,10,16,11.0,84.69,-0.13299999999999557,0.0
GAS,10,17,11.0,85.203,0.5130000000000052,0.0
GAS,10,18,11.0,101.225,16.02199999999999,0.0
GAS,10,19,10.0,112.95,11.725000000000009,-1.0
GAS,10,20,11.0,86.578,-26.372,1.0
GAS,10,21,10.0,85.678,-0.9000000000000057,-1.0
GAS,10,22,10.0,84.586,-1.0919999999999987,0.0
GAS,10,23,10.0,84.499,-0.0870000000000033,0.0
GAS,10,24,10.0,84.852,0.35300000000000864,0.0
GAS,10,25,10.0,84.54,-0.3119999999999976,0.0
GAS,10,26,10.0,84.771,0.23099999999999454,0.0
GAS,10,27,10.0,84.661,-0.10999999999999943,0.0
GAS,10,28,10.0,84.795,0.13400000000000034,0.0
GAS,10,29,10.0,85.096,0.30100000000000193,0.0
GAS,10,30,10.0,85.242,0.1460000000000008,0.0
GAS,10,31,10.0,85.271,0.028999999999996362,0.0
GAS,10,32,10.0,85.202,-0.06900000000000261,0.0
GAS,10,33,9.0,92.276,7.073999999999998,-1.0
GAS,10,34,9.0,91.244,-1.0319999999999965,0.0
GAS,10,35,9.0,85.029,-6.215000000000003,0.0
GAS,10,36,9.0,85.177,0.14800000000001035,0.0
GAS,10,37,10.0,86.333,1.1559999999999917,1.0
GAS,10,38,9.0,86.094,-0.23900000000000432,-1.0
GAS,10,39,9.0,85.265,-0.8289999999999935,0.0
GAS,10,40,10.0,86.132,0.8670000000000044,1.0
GAS,10,41,10.0,85.319,-0.8130000000000024,0.0
GAS,10,42,10.0,84.879,-0.4399999999999977,0.0
GAS,10,43,10.0,84.977,0.09799999999999898,0.0
GAS,10,44,10.0,85.028,0.05100000000000193,0.0
GAS,10,45,10.0,87.175,2.1469999999999914,0.0
GAS,10,46,10.0,85.353,-1.8220000000000027,0.0
GAS,10,47,10.0,86.497,1.1440000000000055,0.0
GAS,10,48,10.0,84.982,-1.5150000000000006,0.0
GAS,10,49,10.0,85.281,0.2990000000000066,0.0
GAS,10,50,10.0,84.927,-0.3539999999999992,0.0
GAS,10,51,10.0,86.46,1.532999999999987,0.0
GAS,10,52,10.0,86.527,0.06700000000000728,0.0
GAS,10,53,10.0,84.79,-1.7369999999999948,0.0
GAS,10,54,10.0,84.52,-0.27000000000001023,0.0
GAS,10,55,10.0,84.595,0.07500000000000284,0.0
GAS,10,56,10.0,84.486,-0.10899999999999466,0.0
GAS,10,57,10.0,84.837,0.3509999999999991,0.0
HAD,6,1,4.0,96.046,,
HAD,6,2,4.0,85.987,-10.059000000000012,0.0
HAD,6,3,4.0,85.556,-0.4309999999999974,0.0
HAD,6,4,4.0,85.342,-0.21399999999999864,0.0
HAD,6,5,4.0,85.355,0.01300000000000523,0.0
HAD,6,6,5.0,85.879,0.5240000000000009,1.0
HAD,6,7,5.0,85.445,-0.4340000000000117,0.0
HAD,6,8,5.0,85.313,-0.1319999999999908,0.0
HAD,6,9,5.0,85.239,-0.07399999999999807,0.0
HAD,6,10,5.0,85.363,0.12399999999999523,0.0
HAM,44,1,3.0,95.261,,
HAM,44,2,3.0,84.626,-10.634999999999991,0.0
HAM,44,3,3.0,84.874,0.24799999999999045,0.0
HAM,44,4,3.0,85.066,0.19200000000000728,0.0
HAM,44,5,3.0,84.502,-0.5640000000000072,0.0
HAM,44,6,3.0,84.703,0.20100000000000762,0.0
HAM,44,7,3.0,84.365,-0.33800000000000807,0.0
HAM,44,8,3.0,84.408,0.043000000000006366,0.0
HAM,44,9,3.0,85.844,1.4359999999999928,0.0
HAM,44,10,3.0,84.255,-1.5889999999999986,0.0
HAM,44,11,3.0,84.073,-0.18200000000000216,0.0
HAM,44,12,2.0,114.958,30.885000000000005,-1.0
HAM,44,13,2.0,116.315,1.3569999999999993,0.0
HAM,44,14,2.0,88.327,-27.988,0.0
HAM,44,15,2.0,83.703,-4.623999999999995,0.0
HAM,44,16,2.0,83.412,-0.2909999999999968,0.0
HAM,44,17,2.0,84.045,0.6329999999999956,0.0
HAM,44,18,2.0,91.597,7.5519999999999925,0.0
HAM,44,19,2.0,113.1,21.503,0.0
HAM,44,20,2.0,91.637,-21.462999999999994,0.0
HAM,44,21,2.0,83.617,-8.019999999999996,0.0
HAM,44,22,2.0,83.509,-0.10800000000000409,0.0
HAM,44,23,2.0,83.382,-0.12699999999999534,0.0
HAM,44,24,2.0,84.329,0.9469999999999885,0.0
HAM,44,25,1.0,83.66,-0.6689999999999969,-1.0
HAM,44,26,1.0,84.085,0.42499999999999716,0.0
HAM,44,27,1.0,83.76,-0.32499999999998863,0.0
HAM,44,28,4.0,99.578,15.817999999999998,3.0
HAM,44,29,4.0,89.135,-10.442999999999998,0.0
HAM,44,30,4.0,83.474,-5.661000000000001,0.0
HAM,44,31,4.0,83.129,-0.34499999999999886,0.0
HAM,44,32,4.0,83.185,0.055999999999997385,0.0
HAM,44,33,4.0,83.775,0.5900000000000034,0.0
HAM,44,34,4.0,98.315,14.539999999999992,0.0
HAM,44,35,4.0,83.317,-14.998000000000005,0.0
HAM,44,36,4.0,83.338,0.021000000000000796,0.0
HAM,44,37,4.0,83.086,-0.25199999999999534,0.0
HAM,44,38,4.0,82.688,-0.39799999999999613,0.0
HAM,44,39,4.0,82.536,-0.15200000000000102,0.0
HAM,44,40,4.0,82.55,0.013999999999995794,0.0
HAM,44,41,4.0,82.648,0.09799999999999898,0.0
HAM,44,42,4.0,82.636,-0.012000000000000455,0.0
HAM,44,43,4.0,82.559,-0.07699999999999818,0.0
HAM,44,44,4.0,82.837,0.2780000000000058,0.0
HAM,44,45,4.0,82.529,-0.30800000000000693,0.0
HAM,44,46,4.0,82.945,0.4159999999999968,0.0
HAM,44,47,4.0,82.677,-0.26799999999998647,0.0
HAM,44,48,4.0,82.764,0.08699999999998909,0.0
HAM,44,49,4.0,82.835,0.07099999999999795,0.0
HAM,44,50,4.0,83.31,0.4750000000000085,0.0
HAM,44,51,4.0,82.683,-0.6269999999999953,0.0
HAM,44,52,4.0,83.008,0.32499999999998863,0.0
HAM,44,53,4.0,83.165,0.1570000000000107,0.0
HAM,44,54,4.0,82.554,-0.6110000000000042,0.0
HAM,44,55,4.0,82.423,-0.13100000000000023,0.0
HAM,44,56,4.0,82.5,0.07699999999999818,0.0
HAM,44,57,4.0,82.716,0.21599999999999397,0.0
HAM,44,58,4.0,82.637,-0.07899999999999352,0.0
LAW,30,1,18.0,102.188,,
LAW,30,2,17.0,88.537,-13.650999999999996,-1.0
LAW,30,3,17.0,86.869,-1.6680000000000064,0.0
LAW,30,4,17.0,86.661,-0.2079999999999984,0.0
LAW,30,5,17.0,87.142,0.48099999999999454,0.0
LAW,30,6,17.0,87.96,0.8179999999999978,0.0
LAW,30,7,16.0,86.644,-1.3159999999999883,-1.0
LAW,30,8,16.0,85.888,-0.7560000000000002,0.0
LAW,30,9,15.0,86.025,0.13700000000000045,-1.0
LAW,30,10,15.0,85.751,-0.2740000000000009,0.0
LAW,30,11,16.0,110.026,24.27499999999999,1.0
LAW,30,12,15.0,130.384,20.35799999999999,-1.0
LAW,30,13,15.0,95.45,-34.93399999999998,0.0
LAW,30,14,15.0,85.233,-10.216999999999999,0.0
LAW,30,15,15.0,86.791,1.5579999999999927,0.0
LAW,30,17,14.0,85.839,-0.9519999999999982,-1.0
LAW,30,18,14.0,108.965,23.126000000000005,0.0
LAW,30,19,14.0,105.808,-3.1569999999999965,0.0
LAW,30,20,14.0,85.068,-20.74000000000001,0.0
LAW,30,21,14.0,84.91,-0.15800000000000125,0.0
LAW,30,22,14.0,85.041,0.13100000000000023,0.0
LAW,30,23,14.0,85.074,0.03300000000000125,0.0
LAW,30,24,14.0,86.526,1.4519999999999982,0.0
LAW,30,25,14.0,85.255,-1.2710000000000008,0.0
LAW,30,26,14.0,84.972,-0.28300000000000125,0.0
LAW,30,27,14.0,85.173,0.20100000000000762,0.0
LAW,30,28,14.0,85.377,0.20399999999999352,0.0
LAW,30,29,14.0,85.253,-0.12399999999999523,0.0
LAW,30,30,14.0,85.65,0.39700000000000557,0.0
LAW,30,31,14.0,85.792,0.1419999999999959,0.0
LAW,30,32,14.0,85.867,0.07500000000000284,0.0
LAW,30,33,13.0,114.107,28.239999999999995,-1.0
LAW,30,34,14.0,90.927,-23.179999999999993,1.0
LAW,30,35,14.0,84.21,-6.717000000000013,0.0
LAW,30,36,14.0,86.728,2.5180000000000007,0.0
LAW,30,37,13.0,85.74,-0.9879999999999995,-1.0
LAW,30,38,13.0,84.423,-1.316999999999993,0.0
LAW,30,39,13.0,84.124,-0.2990000000000066,0.0
LAW,30,40,13.0,84.077,-0.046999999999997044,0.0
