Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,max_dt_used,mean_throttle,n_dt_gaps,calibration_set,error
COL,14,3801.1857111111112,8898.475925925926,323,False,False,False,True,1,0.76,67.88235294117646,2,True,
COL,15,3915.4002666666665,8946.858024691359,325,False,False,False,True,1,1.0,70.06461538461538,0,True,
COL,16,3763.512233333333,8907.733950617285,318,False,False,False,True,1,1.0,69.19182389937107,3,True,
COL,17,1171.4605391666666,2725.2472222222214,314,False,True,False,True,12,0.92,70.35031847133757,1,False,
COL,18,0.0,0.0,408,True,False,False,False,26,0.96,41.94607843137255,2,False,
COL,19,0.0,0.0,389,True,False,False,False,671,0.881,52.71979434447301,0,False,
COL,20,3893.9174000000003,8796.783950617286,317,False,False,False,True,1,0.8,69.48895899053628,1,True,
COL,21,4042.721777777778,8744.196296296293,310,False,False,False,True,1,0.96,70.86129032258064,1,True,
COL,22,3981.1336972222225,8391.574074074073,311,False,False,False,True,1,1.0,71.64951768488746,1,True,
COL,23,3991.468402777778,8459.685185185182,301,False,False,False,True,1,1.0,70.96345514950166,1,True,
COL,24,3944.2537083333336,8802.356172839505,320,False,False,False,True,1,0.72,70.36875,1,True,
COL,25,4026.2933722222224,9666.725308641975,316,False,False,False,True,1,0.96,72.64240506329114,1,True,
COL,26,3982.3124583333333,8700.527777777777,325,False,False,False,True,1,0.961,69.00923076923077,0,True,
COL,27,3879.4080138888894,9192.879012345678,321,False,False,False,True,1,0.921,69.21495327102804,2,True,
COL,28,3781.8691805555554,9368.737654320987,321,False,False,False,True,1,0.88,65.7601246105919,1,True,
COL,29,3910.692877777778,9818.80802469136,330,False,False,False,True,1,0.919,68.65454545454546,0,True,
COL,30,3940.3679194444444,10100.412962962962,313,False,False,False,True,1,0.879,68.6964856230032,2,True,
COL,31,3655.483563888889,10022.964814814814,322,False,False,False,True,1,0.68,64.4192546583851,1,True,
COL,32,3939.2350277777778,8233.78765432099,322,False,False,False,True,1,0.96,69.17080745341615,2,True,
COL,33,0.0,0.0,364,True,False,False,False,167,0.8,51.43131868131868,2,False,
COL,34,3641.0402722222225,9284.937037037038,309,False,False,False,True,1,0.84,64.00970873786407,0,True,
COL,35,3786.596847222222,9491.283950617282,317,False,False,False,True,1,0.68,68.41640378548895,2,True,
COL,36,3592.3784416666667,9229.837654320987,326,False,False,False,True,1,0.92,62.236196319018404,1,True,
COL,37,3741.0737805555555,11013.487654320987,328,False,False,False,True,1,0.8,66.1859756097561,0,True,
COL,38,3738.8432305555557,10178.243827160495,327,False,False,False,True,1,0.92,66.01223241590215,1,True,
COL,39,3689.569063888889,8907.645061728392,333,False,False,False,True,1,0.92,66.76276276276276,0,True,
COL,40,3556.932219444444,7240.238271604938,324,False,False,False,True,1,0.68,64.30555555555556,0,True,
COL,41,3815.1510805555554,7968.988888888891,318,False,False,False,True,1,1.0,67.22641509433963,1,True,
COL,42,3860.1974388888893,8444.825925925925,328,False,False,False,True,1,0.88,67.17378048780488,1,True,
COL,43,3846.820222222222,8060.940123456789,315,False,False,False,True,1,0.48,66.55555555555556,0,True,
COL,44,3858.1638527777777,8539.762345679013,320,False,False,False,True,1,0.92,68.2125,1,True,
COL,45,3805.2547916666663,9552.835185185184,304,False,False,False,True,1,0.52,66.69407894736842,1,True,
COL,46,0.0,0.0,386,True,False,False,False,1,0.999,54.5880829015544,1,False,
COL,47,0.0,0.0,338,True,False,False,False,1,1.0,64.95266272189349,0,False,
COL,48,3878.640580555556,9123.14259259259,300,False,False,False,True,1,0.48,70.48666666666666,3,True,
COL,49,4027.647608333333,8776.482716049382,300,False,False,False,True,1,0.8,71.36666666666666,0,True,
COL,50,3789.936472222222,8219.174074074073,308,False,False,False,True,1,0.96,69.78571428571429,2,True,
COL,51,3613.829370833334,9872.587654320989,305,False,False,False,True,1,0.961,64.00327868852459,0,True,
COL,52,3607.9137805555556,9694.693827160494,310,False,False,False,True,1,0.8,64.81612903225806,2,True,
COL,53,3804.637597222222,10513.63148148148,327,False,False,False,True,1,0.959,65.50152905198777,0,True,
COL,54,3923.9608916666666,9607.653703703701,318,False,False,False,True,1,0.96,69.77672955974843,1,True,
COL,55,3998.9316916666667,8248.111111111111,319,False,False,False,True,1,0.76,71.02194357366771,0,True,
COL,56,3922.074627777778,6808.98148148148,299,False,False,False,True,1,0.88,73.56187290969899,3,True,
HAM,1,3648.5411166666668,8440.070987654322,344,False,False,False,False,1,0.84,63.74418604651163,1,False,
HAM,2,4000.5250916666664,6368.1703703703715,320,False,False,False,True,1,0.8,71.715625,1,True,
HAM,3,3702.9458583333335,6874.677160493826,319,False,False,False,True,1,0.881,67.62382445141066,0,True,
HAM,4,3518.645572222222,7757.433950617285,315,False,False,False,True,1,0.879,63.355555555555554,1,True,
HAM,5,3790.157519444445,7237.06172839506,326,False,False,False,True,1,0.92,67.7239263803681,1,True,
HAM,6,3972.3325027777782,6939.25987654321,322,False,False,False,True,1,0.92,70.40683229813665,0,True,
HAM,7,4116.518902777778,7714.827160493826,308,False,False,False,True,1,0.999,71.3603896103896,0,True,
HAM,8,3785.789127777778,6962.438271604936,299,False,False,False,True,1,0.88,71.8361204013378,3,True,
HAM,9,3899.9691305555552,10069.851851851852,329,False,False,False,True,1,0.96,67.75683890577507,1,True,
HAM,10,3781.6265916666666,7985.712962962964,312,False,False,False,True,1,0.92,69.20833333333333,1,True,
HAM,11,3947.7754444444445,7647.236419753085,311,False,False,False,True,1,0.761,70.7652733118971,1,True,
HAM,12,0.0,0.0,424,True,False,False,False,16,0.92,37.7122641509434,1,False,
HAM,13,0.0,0.0,441,True,False,False,False,6,1.0,39.95918367346939,1,False,
HAM,14,0.0,0.0,327,True,False,False,False,671,0.88,67.1559633027523,0,False,
HAM,15,4037.1800680555557,6418.1487654321,313,False,False,False,True,1,0.76,74.45047923322684,2,True,
HAM,16,3948.3000805555553,7205.688271604938,309,False,False,False,True,1,1.0,72.37864077669903,2,True,
HAM,17,3862.510094444445,8254.462962962964,310,False,False,False,True,1,1.0,71.44516129032257,2,True,
HAM,18,0.0,0.0,337,True,False,False,False,126,0.96,59.961424332344215,1,False,
HAM,19,0.0,0.0,421,True,False,False,False,6,0.881,34.04750593824228,1,False,
HAM,20,0.0,0.0,343,True,False,False,False,671,0.84,57.7201166180758,0,False,
HAM,21,3877.7593611111115,7556.075308641975,314,False,False,False,True,1,0.92,70.61783439490446,1,True,
HAM,22,3998.2563416666667,8171.282098765432,307,False,False,False,True,1,0.96,71.54397394136808,1,True,
HAM,23,3840.978375,7489.108641975309,298,False,False,False,True,1,1.0,69.51006711409396,2,True,
HAM,24,3922.7892111111114,8576.65987654321,301,False,False,False,True,1,1.0,69.8970099667774,1,True,
HAM,25,3968.7062583333336,7442.987654320986,314,False,False,False,True,1,0.72,69.39490445859873,0,True,
HAM,26,3942.232766666667,7906.403703703703,314,False,False,False,True,1,0.96,70.81528662420382,1,True,
HAM,27,4069.0896555555555,7369.316666666669,317,False,False,False,True,1,0.961,71.4826498422713,0,True,
HAM,28,0.0,0.0,375,True,False,False,False,1,0.921,60.589333333333336,2,False,
HAM,29,0.0,0.0,330,True,False,False,False,1,0.84,67.56060606060606,1,False,
HAM,30,4001.3455388888888,7511.632716049382,317,False,False,False,True,1,0.919,70.13564668769716,0,True,
HAM,31,3912.02421388889,7470.864197530864,303,False,False,False,True,1,0.879,69.86138613861387,2,True,
HAM,32,3948.3658916666664,6906.15185185185,304,False,False,False,True,1,0.68,71.8717105263158,2,True,
HAM,33,3755.192661111111,7917.370987654321,315,False,False,False,True,1,0.96,68.25079365079365,2,True,
HAM,34,0.0,0.0,359,True,False,False,False,167,0.8,48.09470752089136,1,False,
HAM,35,3970.1816611111108,8816.141358024692,306,False,False,False,True,1,0.84,70.82679738562092,0,True,
HAM,36,3953.7539472222225,7403.349382716049,310,False,False,False,True,1,0.68,70.2741935483871,2,True,
HAM,37,3935.3469416666667,7767.05987654321,310,False,False,False,True,1,0.92,68.69354838709677,1,True,
HAM,38,4011.699466666667,7163.08950617284,311,False,False,False,True,1,0.8,70.06752411575563,0,True,
HAM,39,4105.596569444444,6585.983333333333,313,False,False,False,True,1,0.92,71.34504792332268,0,True,
HAM,40,3984.756211111111,6841.795061728395,312,False,False,False,True,1,0.92,69.59294871794872,1,True,
HAM,41,3976.073361111111,7980.873456790123,323,False,False,False,True,1,0.52,69.70588235294117,0,True,
HAM,42,3907.6716666666666,7305.141975308641,310,False,False,False,True,1,0.8,70.38064516129032,1,True,
HAM,43,4063.5856666666664,6999.461728395059,312,False,False,False,True,1,1.0,71.4775641025641,0,True,
HAM,44,4006.057013888889,7492.709876543211,311,False,False,False,True,1,0.48,70.66559485530547,1,True,
HAM,45,4113.396252777778,8621.43888888889,305,False,False,False,True,1,0.48,73.15737704918033,0,True,
HAM,46,3956.1275111111117,7784.448148148149,303,False,False,False,True,1,0.92,71.5049504950495,2,True,
HAM,47,4041.793061111111,7525.442592592593,305,False,False,False,True,1,0.999,71.79016393442623,1,True,
HAM,48,4079.8390277777776,7016.179012345679,313,False,False,False,True,1,0.52,70.96485623003196,0,True,
HAM,49,3945.8547083333333,7747.608024691358,302,False,False,False,True,1,1.0,68.95695364238411,1,True,
HAM,50,3956.086936111111,7726.566049382716,297,False,False,False,True,1,0.681,69.98653198653199,2,True,
HAM,51,4003.9672194444447,8009.56975308642,308,False,False,False,True,1,0.8,71.11363636363636,0,True,
HAM,52,3965.0361222222223,6653.782098765432,299,False,False,False,True,1,0.96,71.0133779264214,2,True,
HAM,53,4091.042177777778,8256.783950617282,302,False,False,False,True,1,0.961,73.2251655629139,0,True,
HAM,54,3995.385263888889,7496.333333333334,304,False,False,False,True,1,0.879,70.05263157894737,2,True,
HAM,55,4141.098780555555,7488.814197530863,307,False,False,False,True,1,0.959,72.54071661237785,0,True,
HAM,56,4003.2382638888885,7056.2438271604915,311,False,False,False,True,1,0.96,69.7684887459807,1,True,
HAM,57,4173.438577777777,7218.462345679012,318,False,False,False,True,1,0.64,72.87106918238993,0,True,
HAM,58,3824.100830555555,7730.53209876543,297,False,False,False,True,1,0.88,71.44781144781145,3,True,
BOR,1,3817.62195,11177.010493827162,368,False,False,False,False,1,0.84,63.01086956521739,1,False,
BOR,2,3764.532375,11169.15185185185,336,False,False,False,True,1,0.8,67.43154761904762,1,True,
BOR,3,3910.208291666667,10052.558024691356,328,False,False,False,True,1,0.881,68.33231707317073,1,True,
BOR,4,4008.8793749999995,8207.163580246914,329,False,False,False,True,1,0.879,69.86018237082067,0,True,
BOR,5,3969.106222222222,8958.820987654319,330,False,False,False,True,1,0.92,69.93030303030304,1,True,
BOR,7,4038.1303083333337,10181.774691358025,311,False,False,False,True,1,0.999,69.66237942122187,0,True,
BOR,8,3778.5404777777776,10101.314814814816,305,False,False,False,True,1,0.88,69.81967213114754,3,True,
BOR,9,3827.6944916666666,8323.887654320988,321,False,False,False,True,1,0.96,69.50467289719626,1,True,
BOR,10,3908.198819444444,8018.997530864199,312,False,False,False,True,1,0.92,69.57051282051282,1,True,
BOR,11,0.0,0.0,340,True,False,False,False,16,0.52,63.32941176470588,2,False,
BOR,12,0.0,0.0,422,True,False,False,False,6,1.0,40.154028436018955,0,False,
BOR,13,0.0,0.0,437,True,False,False,False,671,0.88,44.72768878718536,1,False,
BOR,14,3941.050372222222,9101.885802469138,315,False,False,False,True,1,0.76,71.21269841269842,1,True,
