Driver,LapNumber,DriverNumber,IsAccurate,TrackStatus,PitInTime,PitOutTime,freeze_flag,yellow_flag,race_state_factor,race_state_label,thin_lap,n_raw_samples,n_in_window,n_valid_samples,error,D_lap,H_lap,max_dt_used,n_dt_gaps,mean_throttle,calibration_set,LapStartDistance,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high,EstimatedEnergyIndex
NOR,25,1,True,1,,,False,False,1.0,normal,False,310,309,309,,3851.7364055555554,7238.813580246914,0.72,0,66.20711974110033,True,1.2763888888888817,17218.734768910614,99588.9074027674,400.00000000000006,0.8129256538293849,0.7926807292788393,0.9047969653999246,0,0,0.8129256538293849
NOR,26,1,True,1,,,False,False,1.0,normal,False,315,314,314,,3796.8396361111113,6902.043827160492,0.96,1,68.59235668789809,True,12.83222222222222,16735.67823544325,99558.53169324288,400.00000000000006,0.775908955330329,0.7404529377965784,0.8468524623806807,0,0,0.775908955330329
NOR,27,1,True,1,,,False,False,1.0,normal,False,322,321,321,,3798.166966666666,7712.567283950617,0.961,0,64.74766355140187,True,15.851111111111113,16632.744322120558,99550.13994734354,400.0,0.7649381608993269,0.7320610495246893,0.8300356569021993,0,0,0.7649381608993269
NOR,28,1,True,1,,,False,False,1.0,normal,False,313,312,312,,3645.812052777778,7312.8679012345665,0.88,3,65.70192307692308,True,17.725,16568.85104099479,99544.93101121574,400.0,0.7514946899062672,0.7105425150136551,0.8062136227994695,0,0,0.7514946899062672
NOR,29,1,True,1,,,False,False,1.0,normal,False,313,312,312,,3841.768658333333,8122.533950617284,0.84,0,65.84615384615384,True,21.15888888888888,16451.767029539587,99535.3856705084,400.0,0.7507629559295241,0.7103066353209148,0.8233972481200315,0,0,0.7507629559295241
NOR,30,1,True,1,,,False,False,1.0,normal,False,323,322,322,,3788.883636111111,7878.096913580246,0.919,0,67.38509316770187,True,11.225555555555555,16790.460141466294,99562.99781932692,400.0,0.7457646222830239,0.7117052623619256,0.8192182012486033,0,0,0.7457646222830239
NOR,31,1,True,1,,,False,False,1.0,normal,False,306,305,305,,3680.235561111111,7666.526543209879,0.879,2,65.65245901639344,True,11.194444444444445,16791.52092526204,99563.08430032997,400.0,0.741371966543631,0.7011369121474359,0.7978887275719726,0,0,0.741371966543631
NOR,32,1,True,1,,,False,False,1.0,normal,False,307,306,306,,3807.13755,7087.691975308641,0.84,2,67.15032679738562,True,20.12666666666666,16486.962320476938,99538.254986644,400.0,0.7096377422827214,0.677067221147471,0.7858267461462741,0,0,0.7096377422827214
NOR,33,1,True,1,,,False,False,1.0,normal,False,323,322,322,,3773.7230611111113,7689.306790123457,0.96,2,66.43478260869566,True,11.063888888888904,16795.972428690606,99563.44721168188,400.00000000000006,0.6995880692963826,0.6707904297557026,0.788946506089268,0,0,0.6995880692963826
NOR,34,1,False,167,0 days 01:52:42.584000,,True,False,0.0,freeze,False,412,411,411,,0.0,0.0,0.8,1,42.42335766423358,False,14.55777777777778,16676.84261991504,99553.735086183,400.0,0.6995880692963826,0.6995880692963826,0.6995880692963826,0,0,0.6995880692963826
NOR,35,1,False,1,,0 days 01:53:00.323000,True,False,0.0,freeze,False,333,332,332,,0.0,0.0,0.84,1,61.68975903614458,False,1.797222222222223,17192.425907328892,99587.62733287452,400.0,0.6995880692963826,0.6995880692963826,0.6995880692963826,0,0,0.6995880692963826
NOR,36,1,True,1,,,False,False,1.0,normal,False,309,308,308,,3699.1720277777777,6913.558641975309,0.881,1,62.85064935064935,True,8.051111111111108,16898.697973767703,99571.82197024132,400.0,0.669620076168595,0.6461752067729447,0.7565493747327735,0,0,0.669620076168595
NOR,37,1,True,1,,,False,False,1.0,normal,False,306,305,305,,3694.026422222222,8518.74074074074,0.92,1,65.38688524590164,True,7.7499999999999964,16908.96484550508,99572.65898280618,400.0,0.6917655971409845,0.6313582439616814,0.7291277048384461,0,0,0.6917655971409845
NOR,38,1,True,1,,,False,False,1.0,normal,False,324,323,323,,3625.792775,9247.333333333332,0.8,0,63.0,True,24.28833333333333,16345.063545228451,99526.68660818764,400.00000000000006,0.7420708099441867,0.6825733335586046,0.8005317104924011,0,0,0.7420708099441867
NOR,39,1,True,1,,,False,False,1.0,normal,False,313,312,312,,3694.726519444445,7434.608641975308,0.92,1,64.8076923076923,True,2.363333333333337,17163.829928713665,99586.23598223893,400.0,0.7292088573644689,0.7005747555385594,0.8135416054490388,0,0,0.7292088573644689
NOR,40,1,True,1,,,False,False,1.0,normal,False,322,321,321,,3786.003508333333,7382.301234567901,0.92,0,66.2834890965732,True,11.398333333333335,16784.56900288636,99562.51754089951,400.0,0.7084196929821005,0.667014039342393,0.7773110177753858,0,0,0.7084196929821005
NOR,41,1,True,1,,,False,False,1.0,normal,False,328,327,327,,3791.015997222223,7464.342592592591,0.68,0,65.3302752293578,True,5.351388888888884,17012.894235895234,99578.89213592542,400.0,0.6899333895625247,0.6524349158803058,0.7665231926771866,0,0,0.6899333895625247
NOR,42,1,True,1,,,False,False,1.0,normal,False,310,309,309,,3716.695125,7393.657407407407,1.0,1,68.76051779935275,True,8.635555555555555,16878.770392461953,99570.19736282765,400.0,0.6742489361930727,0.6391104239328635,0.7557831185207441,0,0,0.6742489361930727
NOR,43,1,True,1,,,False,False,1.0,normal,False,317,316,316,,3807.399925,7789.641975308642,0.88,1,66.3006329113924,True,6.235555555555557,16968.23231247411,99576.71908927526,400.0,0.6651322971359335,0.626452516111639,0.7389580068507722,0,0,0.6651322971359335
NOR,44,1,True,1,,,False,False,1.0,normal,False,306,305,305,,3808.327558333333,6769.364814814815,0.48,0,66.8,True,2.605833333333337,17151.580522761218,99585.6399816968,400.0,0.6230517349177607,0.610682334506419,0.7321918919342016,0,0,0.6230517349177607
