Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
ANT,12,53,2.0,0.0,82.613,0.0549999999999926,0.6445413850683168,16878.6188519197,99570.18500839862,400.0,63,365.23888888889087,332.6027777777781,291,292
ANT,12,54,2.0,0.0,82.842,0.2289999999999992,0.6321434111026595,16781.670790015847,99562.28126244486,400.0,63,329.8377777777823,287.3522222222241,305,306
ANT,12,55,2.0,0.0,82.928,0.0859999999999985,0.6536441021258607,17241.08677771044,99589.9949501484,400.00000000000006,63,346.957499999995,292.432222222222,309,310
ANT,12,56,2.0,0.0,82.603,-0.3250000000000028,0.6167834885918351,15703.365119074691,99474.3717785804,400.0,63,316.0263888888885,275.33722222222036,306,307
ANT,12,57,2.0,0.0,82.417,-0.1859999999999928,0.5717165356974429,16393.670174154842,99530.6492912899,400.0,63,298.23472222222154,256.93583333333333,317,318
ANT,12,58,2.0,0.0,82.653,0.2360000000000042,0.585395364264862,17174.21315941792,99586.74118315664,400.0,,,233.22416666666825,281,294
BEA,87,1,14.0,,99.765,,0.9683923937146486,17283.209019026875,99592.0444273849,400.0,3,61.8647222222171,15.429166666666449,369,372
BEA,87,2,12.0,-2.0,87.321,-12.444000000000004,0.9603658893327832,15660.242363520942,99470.85617137764,400.0,14,71.22277777777526,22.57944444444456,333,334
BEA,87,3,11.0,-1.0,86.384,-0.9369999999999976,0.9612169685585916,16745.66096866391,99559.34554125337,400.0,5,121.10138888888925,48.16333333333319,325,326
BEA,87,4,11.0,0.0,85.92,-0.4639999999999986,0.9414084295392696,17134.897196670197,99584.82824670873,400.0,5,78.71333333333041,72.33027777777534,327,328
BEA,87,5,11.0,0.0,86.003,0.0829999999999984,0.9523213112524668,16833.005148702723,99566.46632526915,400.0,5,44.87722222222328,43.09722222222206,329,330
BEA,87,6,10.0,-1.0,85.969,-0.034000000000006,0.9584832209544912,16954.64992420152,99576.05823185857,400.00000000000006,10,9.330000000002656,22.33722222222229,325,326
BEA,87,7,10.0,0.0,85.195,-0.7740000000000009,0.9309012604011312,17192.97313164979,99587.65395832829,400.0,10,52.46416666666664,40.61013888888942,306,307
BEA,87,8,11.0,1.0,86.046,0.8510000000000133,0.9376698843174612,16740.480176375768,99558.92317421186,400.0,3,52.494166666670026,23.65138888888964,307,308
BEA,87,9,11.0,0.0,85.397,-0.6490000000000009,0.9396499706526816,16627.042609218435,99549.67511195235,400.0,3,107.2216666666618,77.78472222222081,323,324
BEA,87,10,11.0,0.0,85.668,0.2710000000000008,0.9580013137028356,17132.736362172287,99584.72311030152,400.0,3,139.7491666666665,82.26083333333281,312,313
BEA,87,11,7.0,-4.0,91.403,5.734999999999999,0.9580013137028356,16383.213876739655,99529.7968356888,400.0,3,126.9563888888797,67.02833333333297,336,337
BEA,87,12,7.0,0.0,115.039,23.636,0.9580013137028356,17013.0766440022,99578.9010110767,400.0,3,160.67222222221517,112.04861111111065,423,424
BEA,87,13,7.0,0.0,113.783,-1.2560000000000002,0.9580013137028356,16172.875604097926,99512.64888823456,400.0,3,92.6108333333368,112.35375000000067,432,433
BEA,87,14,7.0,0.0,85.628,-28.155,0.9101858424961484,17234.688462573766,99589.68363715045,400.00000000000006,3,154.13722222223169,97.37111111111585,312,313
BEA,87,15,7.0,0.0,84.562,-1.0660000000000025,0.9172877175856674,16534.54605074315,99542.13427735052,400.0,3,188.12111111111065,118.14527777777494,323,324
BEA,87,16,7.0,0.0,84.563,0.0010000000000047,0.8951827712932683,16317.53999424246,99524.44273502025,400.0,3,137.2861111111124,128.10388888888986,308,309
BEA,87,17,7.0,0.0,84.807,0.2439999999999997,0.8859401337367672,16883.041941496595,99570.5456032951,400.0,3,180.848333333337,138.86916666666684,308,309
BEA,87,18,8.0,1.0,107.604,22.797,0.8859401337367672,17048.0709377541,99580.6036747102,400.0,3,13.434722222228627,101.90972222222308,390,391
BEA,87,19,8.0,0.0,116.677,9.073000000000008,0.8859401337367672,17273.106416179497,99591.55288054603,400.0,3,85.60444444443874,62.12916666666479,436,437
BEA,87,20,8.0,0.0,85.186,-31.491,0.9038940918972154,14941.24878953626,99412.23981082776,400.0,41,82.33611111110804,82.79111111111183,320,321
BEA,87,21,8.0,0.0,84.203,-0.983000000000004,0.9307122088807132,16076.173795575229,99504.76521822794,400.0,41,75.25305555555406,72.7888888888865,309,310
BEA,87,22,8.0,0.0,84.02,-0.1830000000000069,0.9455424215143596,17166.832646782193,99586.3820808827,400.0,41,88.46388888889214,68.25805555555507,300,301
BEA,87,23,8.0,0.0,84.968,0.9480000000000076,0.9623209646374052,17260.43606844174,99590.93639888562,400.0,41,85.58999999999651,48.07972222222065,300,301
BEA,87,24,8.0,0.0,84.692,-0.2760000000000104,0.9441282314269428,16868.14361193673,99569.33100849389,400.0,41,104.57305555555833,75.89138888889147,315,316
BEA,87,25,8.0,0.0,84.058,-0.6339999999999861,0.9426816652277218,16418.24815585087,99532.6530252436,400.0,41,66.46777777777697,64.23638888888922,311,312
BEA,87,26,8.0,0.0,84.155,0.0969999999999942,0.9365663899234926,17261.881301904632,99591.00671739172,400.0,41,58.66555555555533,45.07166666666444,315,316
