event_id,race_id,circuit,overtake_success,model,p_hat,fold,error_tag
australia_2026_R_00155,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4796995475831571,australia_2026_R,other
australia_2026_R_00156,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.22801996934719343,australia_2026_R,other
australia_2026_R_00158,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.050997813693124026,australia_2026_R,true_negative
australia_2026_R_00159,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.33878228756010687,australia_2026_R,other
australia_2026_R_00161,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.10435714851051096,australia_2026_R,true_negative
australia_2026_R_00162,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4675932336488476,australia_2026_R,other
australia_2026_R_00163,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18971886263645618,australia_2026_R,true_negative
australia_2026_R_00164,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6170536671961695,australia_2026_R,false_positive
australia_2026_R_00166,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6423989393885609,australia_2026_R,false_positive
australia_2026_R_00168,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6126886280649204,australia_2026_R,false_positive
australia_2026_R_00169,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6130817406035156,australia_2026_R,false_positive
australia_2026_R_00170,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.7382446592195081,australia_2026_R,false_positive
australia_2026_R_00172,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.14347833058324344,australia_2026_R,true_negative
australia_2026_R_00174,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.28463025265121406,australia_2026_R,other
australia_2026_R_00176,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.11440185078537356,australia_2026_R,true_negative
australia_2026_R_00177,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.02461276452301915,australia_2026_R,true_negative
australia_2026_R_00178,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.037522547378829194,australia_2026_R,true_negative
australia_2026_R_00179,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.6392860644567437,australia_2026_R,true_positive
australia_2026_R_00180,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3443706132452853,australia_2026_R,other
australia_2026_R_00182,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.15002970295061893,australia_2026_R,true_negative
australia_2026_R_00183,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.15232721259435997,australia_2026_R,true_negative
australia_2026_R_00184,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.28687843989272027,australia_2026_R,other
australia_2026_R_00185,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.211590248808591,australia_2026_R,other
australia_2026_R_00187,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.030404551302592276,australia_2026_R,true_negative
australia_2026_R_00188,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.01990364795925617,australia_2026_R,true_negative
australia_2026_R_00189,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.34860184190300025,australia_2026_R,other
australia_2026_R_00191,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5063700765302271,australia_2026_R,false_positive
australia_2026_R_00192,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08086162091578102,australia_2026_R,true_negative
australia_2026_R_00193,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5880371207166477,australia_2026_R,false_positive
australia_2026_R_00194,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.3843483030908002,australia_2026_R,other
australia_2026_R_00195,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.26386745916369686,australia_2026_R,other
australia_2026_R_00196,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6252298954387868,australia_2026_R,false_positive
australia_2026_R_00197,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04667090045444942,australia_2026_R,true_negative
australia_2026_R_00198,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06093500394535858,australia_2026_R,true_negative
australia_2026_R_00199,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4663606252449418,australia_2026_R,other
australia_2026_R_00200,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.37489987331261215,australia_2026_R,other
australia_2026_R_00201,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.5253262339005225,australia_2026_R,true_positive
australia_2026_R_00203,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5183460717911275,australia_2026_R,false_positive
australia_2026_R_00204,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.09697913510609471,australia_2026_R,true_negative
